id,female,educate,AfricanAmerican,OtherEthnic,Latinx,income,immigrant,SameOpinions,CandidateSame
202,1,16,0,0,1,16,0,1,17.259985
203,1,18,0,1,0,13,0,0,17.449583
204,1,15,0,0,0,5,0,1,10.636777
205,0,16,0,0,1,13,0,0,20.156771
206,1,14,0,0,1,7,1,0,19.31806
207,0,18,0,1,0,8,1,0,10.212341
208,1,20,0,0,0,17,0,0,9.0245848
209,0,15,0,1,0,7,0,1,17.106602
210,0,18,0,0,0,12,0,1,8.3605499
211,1,16,1,0,0,7,0,1,18.312601
212,1,15,0,0,0,18,0,0,9.9463911
213,0,14,0,0,1,6,1,1,7.3516512
214,0,16,0,0,0,16,0,1,9.9629545
215,0,17,0,0,1,15,0,1,16.475203
216,1,20,0,0,0,15,0,1,10.274896
217,1,9,0,0,1,11,1,1,19.31806
218,1,18,0,1,0,18,0,0,17.957762
220,0,16,1,0,0,10,0,1,17.784485
221,0,14,1,0,0,14,0,1,20.143072
222,1,18,0,0,1,7,0,1,15.947597
223,0,18,0,0,1,13,1,0,56.126408
224,1,18,0,0,0,17,0,1,8.7452621
225,0,17,0,0,0,12,0,1,11.133664
226,1,16,1,0,0,11,0,0,17.688225
227,1,12,1,0,0,6,0,0,21.35317
228,0,18,0,0,0,13,0,0,10.690321
230,1,19,0,0,0,6,0,1,6.6633611
231,1,15,1,0,0,12,0,1,17.725475
232,1,16,0,0,0,16,1,1,9.037714
233,1,17,0,0,0,15,0,1,12.703783
234,0,19,0,0,0,7,0,1,8.8480663
235,0,15,0,0,1,15,1,1,23.58777
236,0,9,0,0,1,8,1,0,36.616505
237,0,18,0,0,0,15,0,0,15.126407
238,1,15,0,0,0,11,0,1,8.5128651
239,1,15,0,0,0,5,0,0,13.24249
240,0,19,0,1,0,5,1,1,17.560619
241,1,13,0,0,0,6,0,1,10.87962
242,1,19,0,1,0,9,1,1,18.136808
244,1,15,0,0,0,10,0,1,12.334768
245,1,18,0,0,1,15,0,1,16.598564
246,1,16,0,0,1,17,0,1,26.861553
247,1,15,1,0,0,6,0,0,20.912291
248,1,17,0,0,0,15,0,0,11.544849
249,1,19,0,0,1,16,1,1,16.325491
250,0,15,0,0,1,19,0,1,17.459812
251,0,19,1,0,0,12,0,1,19.995832
253,1,20,0,0,1,13,1,1,30.135336
254,1,15,1,0,0,6,0,1,17.658426
255,0,15,0,0,0,9,0,0,10.254785
256,0,16,0,0,1,13,1,0,20.748404
257,1,18,1,0,0,14,0,0,16.506199
258,0,20,0,0,0,7,1,0,8.8490028
259,0,18,1,0,0,14,1,1,16.867752
260,0,19,0,0,0,19,0,1,8.8017635
261,0,15,1,0,0,14,0,0,22.838348
262,0,15,0,0,1,11,1,0,18.536947
263,1,18,0,0,0,17,0,1,9.4631605
264,0,17,0,0,0,11,0,1,13.612561
265,0,10,0,0,1,5,1,1,26.646736
267,0,17,1,0,0,8,0,1,26.795156
268,0,17,0,1,0,16,0,1,18.351576
269,0,16,0,0,0,13,0,1,10.108011
270,0,18,0,1,0,19,0,1,11.193696
271,1,20,0,0,0,18,0,1,3.8481069
272,0,15,0,0,1,8,1,0,26.21232
273,1,16,0,0,1,15,0,1,16.108549
274,1,17,1,0,0,10,0,0,19.538788
275,1,7,0,0,1,4,1,1,28.098404
276,0,15,1,0,0,13,0,1,19.276747
277,1,19,1,0,0,14,1,0,10.191018
278,0,19,1,0,0,19,1,1,15.620126
279,0,16,0,0,0,16,0,0,10.834475
280,0,15,1,0,0,14,0,0,19.146595
281,0,17,1,0,0,13,0,1,22.633696
282,1,16,1,0,0,12,1,1,17.10556
283,0,16,1,0,0,13,0,1,18.913704
285,1,15,1,0,0,10,0,1,15.87928
286,1,15,1,0,0,9,0,1,16.443062
