id,educate,american,group
4303,16,12.5,Not immigrant
4304,12,12.5,Not immigrant
4305,16,17.5,Not immigrant
4320,14,20,Not immigrant
4322,18,20,Not immigrant
4325,16,16.666668,Not immigrant
4329,12,12.5,Not immigrant
4338,12,10,Not immigrant
4343,20,12,Not immigrant
4351,20,20,Not immigrant
4357,12,22.5,Not immigrant
4364,16,7.5,Not immigrant
4373,16,22.5,Not immigrant
4396,14,3.9999998,Not immigrant
4404,14,15.999999,Not immigrant
4407,14,23.333332,Not immigrant
4413,16,20,Not immigrant
4420,12,12.5,Not immigrant
4425,10,20,Not immigrant
4429,16,15.999999,Not immigrant
4436,14,6.666666,Not immigrant
4459,12,13.333332,Not immigrant
4464,12,7.9999995,Not immigrant
4478,14,3.3333337,Not immigrant
4481,20,17.5,Not immigrant
4490,16,0,Not immigrant
4493,12,10,Not immigrant
4506,14,15,Not immigrant
4513,12,12.5,Not immigrant
4518,12,20,Not immigrant
4525,12,20,Not immigrant
4527,12,12.5,Not immigrant
4528,14,14.000001,Not immigrant
4539,14,18,Not immigrant
4556,10,12,Not immigrant
4562,12,2.5,Not immigrant
4563,20,15.999999,Not immigrant
4566,14,26,Not immigrant
4592,10,12.5,Not immigrant
4593,10,10,Not immigrant
4600,16,10,Not immigrant
4627,14,13.333332,Not immigrant
4629,14,11.666668,Not immigrant
4645,20,20,Not immigrant
4657,12,6.666666,Not immigrant
4661,14,6,Not immigrant
4672,14,16.666668,Not immigrant
4673,18,7.9999995,Not immigrant
4682,16,13.333332,Not immigrant
4694,14,11.666668,Not immigrant
4697,12,12,Not immigrant
4702,16,12.5,Not immigrant
4710,14,17.5,Not immigrant
4726,16,15,Not immigrant
4732,12,0,Not immigrant
4739,12,6,Not immigrant
4749,13,20,Not immigrant
4769,13,6,Not immigrant
4770,12,14.000001,Not immigrant
4773,18,12,Not immigrant
4776,20,20,Not immigrant
4779,13,14.000001,Not immigrant
4781,12,12,Not immigrant
4787,16,10,Not immigrant
4809,20,18.333332,Not immigrant
4817,16,6,Not immigrant
4825,14,17.5,Not immigrant
4827,16,18,Not immigrant
4834,16,22,Not immigrant
4841,20,15,Not immigrant
4842,14,10,Not immigrant
4853,14,15,Not immigrant
4854,13,10,Not immigrant
4857,16,18,Not immigrant
4861,20,16.666668,Not immigrant
4871,12,0,Not immigrant
4892,20,12,Not immigrant
4900,12,7.9999995,Not immigrant
4921,12,0,Not immigrant
4925,14,2.0000005,Not immigrant
4943,14,17.5,Not immigrant
4944,18,12.5,Not immigrant
4946,20,14.000001,Not immigrant
4955,14,12,Not immigrant
4963,10,17.5,Not immigrant
4972,14,20,Not immigrant
4986,14,11.666668,Not immigrant
4989,14,17.5,Not immigrant
5008,12,15,Not immigrant
5016,14,6.666666,Not immigrant
5018,18,16.666668,Not immigrant
5027,12,0,Not immigrant
5047,12,15.999999,Not immigrant
5053,20,10,Not immigrant
5054,12,3.3333337,Not immigrant
