State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Colorado,6,Alamosa,202.06,14,57,168,73,32,424,2,42
Colorado,6,Arapahoe,203.06,17,39,116,70,30,372,2,52
Colorado,6,Archuleta,204.06,13,35,136,80,29,167,4,33
Colorado,6,Boulder,205.06,17,21,189,81,23,215,4,44
Colorado,6,Broomfield,206.06,15,24,126,82,23,80,6,58
Colorado,6,Chaffee,207.06,14,39,182,81,24,117,1,40
Colorado,6,Clear Creek,208.06,19,15,11,82,27,435,14,29
Colorado,6,Delta,209.06,13,53,140,84,26,257,0,24
Colorado,6,Denver,210.06,22,93,206,52,37,586,5,43
Colorado,6,Douglas,211.06,17,11,84,83,13,109,3,51
Colorado,6,Eagle,212.06,26,51,121,81,24,171,0,27
Colorado,6,El Paso,213.06,16,43,74,78,28,486,9,51
Colorado,6,Fremont,214.06,14,48,76,74,26,328,3,30
Colorado,6,Grand,215.06,24,29,174,88,19,269,5,19
Colorado,6,Gunnison,216.06,25,16,138,86,21,294,3,22
Colorado,6,Jefferson,217.06,18,26,126,78,27,268,3,49
Colorado,6,Kit Carson,218.06,15,44,111,94,25,216,11,55
Colorado,6,Lake,219.06,17,72,50,71,32,281,0,42
Colorado,6,La Plata,220.06,18,22,164,75,28,319,3,32
Colorado,6,Larimer,221.06,17,24,138,82,23,258,6,49
Colorado,6,Logan,222.06,17,45,92,77,32,206,7,52
Colorado,6,Mesa,223.06,18,53,144,70,27,328,14,50
Colorado,6,Moffat,224.06,30,54,36,84,30,291,4,30
Colorado,6,Montezuma,225.06,19,51,107,64,32,329,6,32
Colorado,6,Montrose,226.06,15,56,101,74,23,215,3,37
Colorado,6,Morgan,227.06,21,73,91,70,34,131,1,43
Colorado,6,Otero,228.06,11,75,107,82,33,376,1,35
Colorado,6,Park,229.06,18,12,6,83,22,115,16,44
Colorado,6,Pitkin,230.06,30,11,141,95,17,289,1,26
Colorado,6,Rio Blanco,231.06,17,38,269,92,21,386,3,33
Colorado,6,Rio Grande,232.06,6,70,86,66,33,268,4,30
Colorado,6,Routt,233.06,35,13,157,89,19,321,1,30
Colorado,6,Teller,234.06,11,24,120,82,23,167,14,39
Colorado,6,Washington,235.06,14,30,45,93,25,161,17,50
Colorado,6,Weld,236.06,16,51,87,71,23,298,13,48
Colorado,6,Yuma,237.06,6,47,125,89,16,109,9,20
Connecticut,7,Fairfield,238.07001,20,20,147,82,23,318,4,37
Connecticut,7,Hartford,239.07001,18,30,148,75,35,327,4,39
Connecticut,7,Litchfield,240.07001,17,14,89,70,22,130,0,24
Connecticut,7,Middlesex,241.07001,19,12,121,92,24,101,7,34
Connecticut,7,New Haven,242.07001,18,29,160,68,34,452,5,42
Connecticut,7,New London,243.07001,18,26,91,78,31,362,9,35
Connecticut,7,Tolland,244.07001,17,7,89,79,20,147,11,38
Connecticut,7,Windham,245.07001,17,29,75,63,32,241,0,41
Delaware,8,Kent,246.08,16,45,64,82,36,645,16,49
Delaware,8,New Castle,247.08,21,37,124,81,34,732,7,51
Delaware,8,Sussex,248.08,17,65,83,85,39,601,0,36
Florida,9,Alachua,249.09,16,25,262,76,39,890,17,48
Florida,9,Baker,250.09,14,79,50,76,27,306,30,54
Florida,9,Bay,251.09,16,59,84,81,35,620,16,43
Florida,9,Bradford,252.09,17,73,41,64,37,512,0,62
Florida,9,Brevard,253.09,19,35,101,95,30,689,13,44
Florida,9,Broward,254.09,15,31,96,78,36,585,3,47
Florida,9,Calhoun,255.09,13,66,52,88,42,178,6,47
Florida,9,Charlotte,256.09,16,37,72,79,35,358,13,41
Florida,9,Citrus,257.09,14,42,67,83,36,342,0,36
Florida,9,Clay,258.09,18,38,97,78,28,496,12,54
Florida,9,Collier,259.09,17,56,89,79,31,373,11,31
Florida,9,Columbia,260.09,16,67,67,87,41,585,3,54
Florida,9,DeSoto,261.09,15,87,49,61,47,795,1,57
Florida,9,Dixie,262.09,11,71,27,66,32,602,2,83
Florida,9,Duval,263.09,18,54,139,67,39,952,10,54
Florida,9,Escambia,264.09,15,51,114,78,43,889,16,50
Florida,9,Flagler,265.09,13,36,55,84,31,307,0,33
Florida,9,Franklin,266.09,18,86,62,79,54,452,1,23
Florida,9,Gadsden,267.09,14,80,46,58,57,1059,34,56
Florida,9,Gilchrist,268.09,15,60,12,92,38,204,37,50
Florida,9,Glades,269.09,16,44,100,64,49,410,5,60
Florida,9,Gulf,270.09,19,39,77,96,42,599,1,65
Florida,9,Hamilton,271.09,13,85,42,63,52,569,11,57
Florida,9,Hardee,272.09,8,99,31,75,28,360,1,44
Florida,9,Hendry,273.09,14,89,46,81,42,759,5,48
Florida,9,Hernando,274.09,14,39,69,79,33,382,22,44
Florida,9,Highlands,275.09,14,64,79,73,36,348,2,48
Florida,9,Hillsborough,276.09,18,50,111,82,38,679,10,49
Florida,9,Holmes,277.09,11,70,57,81,35,274,8,27
Florida,9,Indian River,278.09,14,47,95,82,35,349,19,43
Florida,9,Jackson,279.09,10,58,65,82,35,572,1,52
Florida,9,Jefferson,280.09,9,57,36,51,46,1070,29,67
Florida,9,Lafayette,281.09,10,66,12,88,24,252,4,50
Florida,9,Lake,282.09,13,57,75,81,30,496,19,40
Florida,9,Lee,283.09,18,56,69,80,33,485,11,36
Florida,9,Leon,284.09,19,24,158,78,41,854,11,52
Florida,9,Levy,285.09,15,58,23,71,37,679,3,43
Florida,9,Madison,286.09,19,60,37,65,45,945,11,40
Florida,9,Manatee,287.09,16,64,83,76,37,887,7,43
Florida,9,Marion,288.09,15,57,69,78,38,623,25,48
Florida,9,Martin,289.09,17,38,97,90,29,367,11,38
